Supplementary Table 1. Differentially methylated genes in mutant IDH-expressing human astrocytes;;;;;;;;;;;;
Probeset ID;Symbol;Normalized fold change (mut/wt);Delta-beta (P40 mut vs P40 wt);Chromosome;Mapinfo;Accession;UCSC Refgene group;Relation to UCSC CpG island;Q value;;;
cg20773588;EGFR;2,65543;0,096584;7;5,51E+07;"NM_201283;NM_201284;NM_201282;NM_005228";"Body;Body;Body;Body";;0,0490361;;;
cg20774676;;3,38943;0,098254;1;2,54E+07;;;;0,0382745;;;
cg20775370;OBSCN;3,64052;0,1013945;1;2,28E+08;"NM_052843;NM_001098623";"Body;Body";Island;0,0472661;;;
cg20775959;ARNT2;-4,17078;-0,142117;15;8,07E+07;NM_014862;TSS1500;Island;0,039608;;;
cg20776829;SNCA;56,2052;0,410543;4;9,08E+07;"NM_001146054;NM_001146055;NM_007308;NM_000345";"TSS1500;5'UTR;TSS1500;TSS1500";Island;0,0404029;;;
cg20776977;MMEL1;-3,50114;-0,0867735;1;2,56E+06;NM_033467;TSS200;S_Shelf;0,0448462;;;
cg20777656;;-1,61744;-0,05192;15;2,21E+07;;;S_Shore;0,0444063;;;
cg20777796;MAD1L1;17,1244;0,297378;7;1,98E+06;"NM_003550;NM_001013837;NM_001013836";"Body;Body;Body";S_Shore;0,0382745;;;
cg20778776;;5,31481;0,1604175;11;7,51E+07;;;;0,0382745;;;
cg20780998;;3,31621;0,127439;X;1,30E+07;;;S_Shelf;0,0393321;;;
cg20782816;OGG1;4,01185;0,103229;3;9,81E+06;"NM_016826;NM_003656;NM_016827;NM_016821;NM_016828;NM_016829";"3'UTR;Body;3'UTR;3'UTR;3'UTR;3'UTR";N_Shelf;0,0394925;;;
cg20783453;C13orf35;-1,92526;-0,0707925;13;1,13E+08;NM_207440;5'UTR;;0,040878;;;
cg20784823;;-3,8635;-0,1451095;7;1,12E+08;;;;0,0425031;;;
cg20784899;;-2,5036;-0,099242;7;3,23E+07;;;S_Shelf;0,0400952;;;
cg20784907;;6,90461;0,2051095;X;1,29E+08;;;Island;0,0424192;;;
cg20784955;;1,43235;0,0256405;5;1,80E+08;;;;0,0394157;;;
cg20785360;;-16,8353;-0,295387;4;1,56E+08;;;Island;0,0382745;;;
cg20786246;;7,03642;0,195126;2;7,24E+07;;;Island;0,0488724;;;
cg20786730;;-4,91;-0,1622125;11;4,57E+07;;;;0,0420096;;;
cg20787201;PRR5-ARHGAP8;35,7117;0,368115;22;4,51E+07;NM_181334;Body;S_Shore;0,0397962;;;
cg20787693;FAM54B;-1,51177;-0,0428945;1;2,61E+07;"NM_001099626;NM_001099625;NM_001099627;NM_001099626;NR_024498;NM_019557";"1stExon;5'UTR;5'UTR;5'UTR;Body;5'UTR";S_Shore;0,0382745;;;
cg20788020;;7,65213;0,216251;8;1,06E+08;;;;0,0456669;;;
cg20788021;;9,31337;0,1892335;3;5,82E+07;;;S_Shore;0,0391234;;;
cg20788133;LOC643837;-1,49414;-0,029239;1;765028;NR_015368;Body;S_Shore;0,0397962;;;
cg20788199;SETD2;1,40947;0,0196315;3;4,72E+07;NM_014159;Body;;0,0429729;;;
cg20789492;CXorf67;6,89624;0,160136;X;5,11E+07;NM_203407;TSS1500;N_Shore;0,0424192;;;
cg20791323;MRGPRD;35,6622;0,363775;11;6,87E+07;NM_198923;TSS1500;;0,0484077;;;
cg20792590;WSCD1;1,54319;0,035962;17;5,98E+06;NM_015253;5'UTR;;0,0432669;;;
cg20793072;B3GNTL1;-2,97533;-0,061316;17;8,09E+07;NM_001009905;Body;;0,043497;;;
cg20793420;;17,9413;0,2895675;22;3,89E+07;;;N_Shelf;0,0422328;;;
cg20793532;PPP2R2C;2,08956;0,070031;4;6,34E+06;"NM_181876;NM_020416";"Body;Body";;0,0466835;;;
cg20795569;TCHH;-3,70887;-0,1290605;1;1,52E+08;NM_007113;Body;Island;0,0392697;;;
cg20795635;GABBR1;17,8133;0,3015765;6;2,96E+07;"NM_021904;NM_021903;NM_001470";"Body;Body;Body";;0,0398619;;;
cg20795863;NEU2;10,1541;0,1337895;2;2,34E+08;NM_005383;TSS1500;;0,0449144;;;
cg20797203;;4,74847;0,1553975;22;4,28E+07;;;N_Shore;0,0382745;;;
cg20797216;FBN3;3,0973;0,1148525;19;8,21E+06;NM_032447;1stExon;N_Shelf;0,0493318;;;
cg20797766;PRSS27;3,91206;0,1377215;16;2,77E+06;NM_031948;TSS1500;N_Shore;0,0483793;;;
cg20798460;;5,05792;0,156935;2;3,14E+07;;;;0,0408631;;;
cg20799963;C20orf111;-4,29838;-0,1232075;20;4,28E+07;NM_016470;TSS1500;S_Shore;0,0497072;;;
cg20800022;GDF6;2,37378;0,092085;8;9,72E+07;NM_001001557;Body;Island;0,0403813;;;
cg20800844;ELFN2;8,13999;0,223657;22;3,78E+07;NM_052906;5'UTR;Island;0,0423647;;;
cg20800956;DNM3;5,23558;0,0541959;1;1,72E+08;"NM_015569;NM_001136127";"Body;Body";S_Shore;0,041729;;;
cg20802826;;4,77425;0,13168;6;3,08E+07;;;;0,0408631;;;
cg20803916;TRIM22;-1,38365;-0,0227965;11;5,71E+06;NM_006074;TSS1500;;0,0383741;;;
cg20805368;;-9,60093;-0,1733985;11;2,37E+06;;;;0,0391234;;;
cg20805475;;5,88201;0,1600935;22;4,28E+07;;;N_Shore;0,0487703;;;
cg20805920;DFFA;1,72876;0,050617;1;1,05E+07;"NM_213566;NM_004401;NM_004565";"TSS1500;TSS1500;TSS1500";N_Shore;0,0408631;;;
cg20810072;MIOX;-10,1271;-0,188803;22;5,09E+07;NM_017584;Body;;0,0446189;;;
cg20810222;SH3RF3;-2,65595;-0,0700385;2;1,10E+08;NM_001099289;Body;;0,0499338;;;
cg20810345;;-2,22616;-0,0866215;1;2,40E+08;;;S_Shore;0,0382745;;;
cg20811659;CACNA1G;-2,76462;-0,108368;17;4,86E+07;"NM_198384;NM_198397;NM_198396;NM_198379;NM_198383;NM_198380;NM_198387;NM_198378;NM_198377;NM_198386;NM_198376;NM_198385;NM_018896;NM_198388;NM_198382";"TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500";Island;0,0391234;;;
cg20811788;PLXNB2;8,95026;0,1790615;22;5,07E+07;NM_012401;Body;Island;0,0385335;;;
cg20812929;DHRS4L2;1,62094;0,051768;14;2,45E+07;NM_198083;Body;S_Shore;0,0405185;;;
cg20815778;MIR30A;3,26925;0,1079095;6;7,21E+07;NR_029504;TSS200;;0,0485486;;;
cg20816612;PHKA1;-3,76673;-0,1062835;X;7,19E+07;"NM_002637;NM_001122670";"Body;Body";N_Shore;0,0385708;;;
cg20817175;MASP2;20,989;0,2831705;1;1,11E+07;"NM_006610;NM_139208";"TSS200;TSS200";;0,04756;;;
cg20817363;BAI1;1,78631;0,0622905;8;1,44E+08;NM_001702;Body;S_Shore;0,0444907;;;
cg20818262;KCNB2;-3,70194;-0,130615;8;7,35E+07;NM_004770;Body;;0,0418611;;;
cg20818265;ZFYVE28;6,50038;0,1994865;4;2,27E+06;NM_020972;Body;;0,0459881;;;
cg20819191;;13,075;0,2516895;17;3,97E+07;;;Island;0,0455468;;;
cg20821899;DNAH7;1,4562;0,023231;2;1,97E+08;NM_018897;Body;;0,0443624;;;
cg20822365;HOMER2;7,73019;0,1028909;15;8,36E+07;"NM_199332;NM_004839;NM_199331;NM_199330";"TSS1500;TSS1500;TSS1500;TSS1500";Island;0,0414967;;;
cg20822426;HTR7P;12,1567;0,1772155;12;1,32E+07;NR_002774;Body;Island;0,0422425;;;
cg20822858;SGK1;6,36085;0,177714;6;1,35E+08;"NM_001143676;NM_001143677";"Body;TSS1500";S_Shore;0,0491483;;;
cg20822990;ATP13A2;3,08181;0,120993;1;1,73E+07;"NM_022089;NM_001141974;NM_001141973";"TSS1500;TSS1500;TSS1500";S_Shore;0,0422862;;;
cg20823406;ATP1A4;-3,50764;-0,120063;1;1,60E+08;"NM_001001734;NM_144699";"3'UTR;3'UTR";;0,0487669;;;
cg20823481;ACSL1;1,79434;0,0616435;4;1,86E+08;NM_001995;5'UTR;;0,0471092;;;
cg20823529;PCGF3;1,3633;0,0171765;4;730453;NM_006315;Body;Island;0,0418743;;;
cg20823730;;3,71681;0,05903;8;790768;;;Island;0,0408631;;;
cg20823742;CXCR4;7,27379;0,1392825;2;1,37E+08;NM_003467;TSS200;N_Shore;0,0404461;;;
cg20824294;PLS1;-3,30628;-0,0815065;3;1,42E+08;NM_001145319;5'UTR;S_Shore;0,0391234;;;
cg20824939;;2,15246;0,0490045;1;2,05E+08;;;;0,0463602;;;
cg20824989;;-6,12847;-0,133423;2;2,08E+08;;;S_Shore;0,0382745;;;
cg20825710;HCCA2;3,93401;0,073202;11;1,62E+06;"NM_053005;NM_001004325;NR_021489";"Body;TSS1500;Body";;0,0488536;;;
cg20825769;CKMT1A;-3,81036;-0,144066;15;4,40E+07;NM_001015001;3'UTR;;0,0421791;;;
cg20826201;RASSF1;3,89587;0,117082;3;5,04E+07;"NM_170713;NM_170714;NM_007182;NM_170712";"TSS1500;Body;Body;5'UTR";Island;0,0390167;;;
cg20826224;EBF4;2,7993;0,1066305;20;2,73E+06;NM_001110514;Body;Island;0,0382745;;;
cg20826277;MESTIT1;8,85065;0,195915;7;1,30E+08;"NR_004382;NM_002402;NM_177524;NM_177525";"Body;TSS1500;5'UTR;TSS1500";N_Shore;0,0382745;;;
cg20826671;;3,76149;0,1112035;4;1,56E+08;;;N_Shore;0,0427568;;;
cg20828897;KCNQ1;-4,25941;-0,1558845;11;2,61E+06;"NM_000218;NM_181798";"Body;Body";;0,0480538;;;
cg20830565;MGC102966;14,1059;0,2138365;17;2,04E+07;NR_029393;TSS1500;;0,0457898;;;
cg20832320;APEH;14,581;0,202477;3;4,97E+07;NM_001640;Body;S_Shore;0,0419309;;;
cg20833128;CNOT4;-7,64828;-0,1541715;7;1,35E+08;"NM_001008225;NM_013316";"TSS1500;TSS1500";S_Shore;0,0382745;;;
cg20838429;FAP;4,70991;0,1616205;2;1,63E+08;NM_004460;TSS1500;;0,0374186;;;
cg20840426;NOS1;7,31102;0,1503315;12;1,18E+08;NM_000620;TSS1500;S_Shore;0,0474848;;;
cg20840456;CXorf26;3,53236;0,1117865;X;7,54E+07;NM_016500;TSS1500;;0,0421799;;;
cg20842396;;3,37322;0,1169325;17;7,56E+07;;;;0,0382745;;;
cg20844901;;5,17127;0,125975;4;5,47E+07;;;;0,045755;;;
cg20846192;;-14,6603;-0,265419;7;4,30E+07;;;;0,0397962;;;
cg20847039;;-4,56986;-0,1482325;13;4,84E+07;;;;0,0394157;;;
cg20847292;ARHGEF2;1,22002;0,0168865;1;1,56E+08;"NM_004723;NM_001162383;NM_001162384";"Body;Body;Body";;0,0445771;;;
cg20847586;;-10,6677;-0,243605;4;9,26E+07;;;;0,0382745;;;
cg20848988;EEPD1;3,32595;0,107527;7;3,62E+07;NM_030636;Body;;0,0392619;;;
cg20849150;;4,04356;0,132693;1;5,95E+07;;;;0,0466198;;;
cg20849299;OTOP1;8,59231;0,1854505;4;4,23E+06;NM_177998;TSS1500;S_Shore;0,0398626;;;
cg20851513;;4,16816;0,1329925;3;1,27E+08;;;;0,043799;;;
cg20852890;C2orf55;-34,5762;-0,2912815;2;9,96E+07;NM_207362;TSS200;Island;0,0408894;;;
cg20853001;INPP5A;1,1941;0,007006;10;1,35E+08;NM_005539;Body;Island;0,0455468;;;
cg20855303;REPS2;4,80136;0,1665555;X;1,70E+07;"NM_004726;NM_001080975";"Body;Body";Island;0,043799;;;
cg20855565;TRIM58;-5,27215;-0,1783805;1;2,48E+08;NM_015431;TSS200;Island;0,0424826;;;
cg20856330;RPP21;-14,3103;-0,2279135;6;3,03E+07;NM_024839;Body;S_Shore;0,0410493;;;
cg20856551;;-3,4675;-0,1007095;11;1,90E+07;;;;0,0408631;;;
cg20856834;OR12D3;9,42952;0,190628;6;2,93E+07;NM_030959;1stExon;;0,0408631;;;
cg20857416;;2,04762;0,0752765;13;2,02E+07;;;N_Shelf;0,0488536;;;
cg20859738;SLC25A14;3,31585;0,0694835;X;1,29E+08;"NM_003951;NM_022810";"TSS200;TSS200";Island;0,0491586;;;
cg20859841;;6,96033;0,2036235;8;1,40E+06;;;S_Shore;0,0466499;;;
cg20861422;;14,5438;0,23082;X;1,53E+08;;;Island;0,0446021;;;
cg20862119;KRT76;-11,9795;-0,2291695;12;5,32E+07;NM_015848;1stExon;;0,0464097;;;
cg20862599;;-2,4734;-0,0897895;8;6,55E+07;;;N_Shore;0,0450515;;;
cg20863673;;-6,20369;-0,099157;2;1,20E+07;;;;0,0382745;;;
cg20863756;C12orf53;5,68459;0,1423935;12;6,81E+06;"NM_153685;NM_153685";"5'UTR;1stExon";Island;0,0453537;;;
cg20865778;TCIRG1;1,94306;0,071975;11;6,78E+07;"NM_006053;NM_006019";"Body;Body";;0,0405212;;;
cg20866711;;-10,7414;-0,2511895;17;4,76E+07;;;S_Shore;0,0465218;;;
cg20866788;ARL1;88,8023;0,3760735;12;1,02E+08;NM_001177;TSS1500;Island;0,0382745;;;
cg20868668;SLC35A3;7,43834;0,184711;1;1,00E+08;NM_012243;TSS1500;N_Shore;0,0421247;;;
cg20870512;UNCX;-4,26162;-0,1331145;7;1,27E+06;NM_001080461;TSS200;Island;0,040575;;;
cg20870559;OAS2;2,0883;0,079315;12;1,13E+08;"NM_001032731;NM_002535;NM_016817";"1stExon;1stExon;1stExon";;0,04598;;;
cg20871097;CD300LD;3,70762;0,139356;17;7,26E+07;"NM_001115152;NM_152460";"TSS1500;3'UTR";;0,0458106;;;
cg20871826;CAMKK1;1,78094;0,0308675;17;3,79E+06;"NM_172207;NM_172206;NM_032294";"5'UTR;5'UTR;5'UTR";N_Shore;0,0391234;;;
cg20872630;ESPNL;2,60279;0,1034645;2;2,39E+08;NM_194312;Body;;0,0459384;;;
cg20872809;;3,67053;0,1211685;6;1,48E+06;;;;0,0427702;;;
cg20873686;;3,87683;0,139273;7;1,57E+08;;;N_Shore;0,0403305;;;
cg20876003;C17orf50;26,2565;0,337411;17;3,41E+07;NM_145272;TSS1500;N_Shelf;0,0403345;;;
cg20878850;AR;58,163;0,3406555;X;6,68E+07;NM_000044;TSS200;Island;0,0424192;;;
cg20878864;HUWE1;19,185;0,2861125;X;5,37E+07;NM_031407;TSS200;S_Shore;0,0382745;;;
cg20880339;;6,80699;0,1264685;14;1,04E+08;;;Island;0,0492539;;;
cg20881054;VASH1;22,8141;0,2866075;14;7,72E+07;"NM_014909;NM_014909";"1stExon;5'UTR";Island;0,0382745;;;
cg20882260;CACNA1C;1,64178;0,022908;12;2,37E+06;"NM_001129844;NM_001129827;NM_001129839;NM_001129834;NM_001129841;NM_000719;NM_001129830;NM_001167625;NM_001129843;NM_001167624;NM_001129835;NM_001129837;NM_001167623;NM_001129840;NM_199460;NM_001129833;NM_001129832;NM_001129829;NM_001129846;NM_001129836;NM_001129838;NM_001129831;NM_001129842";"Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body";;0,040485;;;
cg20883684;C1QL2;5,74037;0,141027;2;1,20E+08;NM_182528;TSS1500;S_Shore;0,0499026;;;
cg20885782;;-3,4193;-0,1323145;4;4,19E+07;;;Island;0,0394157;;;
cg20886049;TSKU;1,67886;0,0539895;11;7,65E+07;NM_015516;TSS1500;N_Shore;0,0386679;;;
cg20886183;OPCML;-4,41999;-0,1461685;11;1,33E+08;NM_001012393;Body;N_Shore;0,0397962;;;
cg20887366;ATP6AP2;3,08845;0,0711765;X;4,04E+07;NM_005765;TSS200;Island;0,0404461;;;
cg20888326;;14,8025;0,282783;2;1,13E+08;;;S_Shelf;0,0461539;;;
cg20888386;CRYBA2;3,15449;0,0827955;2;2,20E+08;"NM_005209;NM_057093;NM_057094";"TSS200;TSS200;TSS200";Island;0,039881;;;
cg20889818;;8,07683;0,203934;15;9,69E+07;;;S_Shore;0,0444804;;;
cg20891842;;2,13025;0,0572605;20;3,60E+07;;;;0,0435559;;;
cg20892990;FGF4;-2,22718;-0,085973;11;6,96E+07;NM_002007;Body;Island;0,0449969;;;
cg20893203;;2,95311;0,0561795;6;4,15E+07;;;;0,0434887;;;
cg20893579;;7,55813;0,2146165;22;3,82E+07;;;Island;0,0382745;;;
cg20893936;TBC1D8;7,03274;0,18733;2;1,02E+08;NM_001102426;Body;;0,043764;;;
cg20894686;TFAP2B;5,74092;0,175719;6;5,08E+07;NM_003221;Body;;0,0494449;;;
cg20895058;;-2,44639;-0,069302;14;6,10E+07;;;S_Shore;0,0497771;;;
cg20895698;;14,0552;0,277138;22;3,88E+07;;;Island;0,0397962;;;
cg20895785;STEAP2;5,92266;0,1769595;7;8,98E+07;"NM_152999;NM_001040665";"TSS200;TSS1500";Island;0,0398626;;;
cg20897830;;21,836;0,3225575;7;5,63E+07;;;Island;0,0399465;;;
cg20898829;;27,0363;0,286695;20;3,23E+06;;;Island;0,0484746;;;
cg20899329;PTPRN2;-2,42785;-0,0950305;7;1,57E+08;"NM_002847;NM_130842;NM_130843";"Body;Body;Body";Island;0,0469093;;;
cg20901959;;2,6363;0,0596015;12;1,31E+08;;;;0,0403706;;;
cg20902783;NDRG2;-4,30789;-0,15469;14;2,15E+07;"NM_201539;NM_201535;NM_201536;NM_201538;NM_201541;NM_201540;NM_016250;NM_201537";"TSS1500;TSS200;TSS200;TSS1500;TSS1500;TSS1500;TSS200;TSS200";Island;0,0463602;;;
cg20902958;HS6ST1;2,19707;0,0841975;2;1,29E+08;NM_004807;Body;Island;0,041536;;;
cg20903136;ASPH;3,96566;0,0936225;8;6,26E+07;"NM_020164;NM_001164755;NM_001164750;NM_004318;NM_001164753;NM_001164751;NM_032467;NM_001164752;NM_032468;NM_032466;NM_001164754";"3'UTR;Body;Body;Body;Body;Body;3'UTR;Body;Body;Body;Body";;0,0400885;;;
cg20904286;;4,17995;0,150439;6;9,10E+07;;;;0,0495637;;;
cg20905415;CLN8;1,6284;0,0192455;8;1,72E+06;NM_018941;Body;;0,0481292;;;
cg20905460;;6,0874;0,158949;7;1,02E+06;;;S_Shelf;0,0453479;;;
cg20906495;RAET1G;2,9387;0,07503;6;1,50E+08;NM_001001788;3'UTR;;0,0459881;;;
cg20907136;HLA-DPA1;-12,4555;-0,236892;6;3,30E+07;NM_033554;Body;;0,0455785;;;
cg20907806;B4GALNT3;2,80819;0,100058;12;570249;NM_173593;Body;Island;0,0382745;;;
cg20908178;;2,03348;0,055042;3;1,94E+08;;;;0,0399093;;;
cg20908789;;8,56137;0,1916965;8;1,16E+07;;;S_Shore;0,0347648;;;
cg20909579;PDE6B;3,98156;0,1354495;4;645551;"NM_001145292;NM_000283;NM_001145291";"TSS1500;Body;Body";Island;0,0382745;;;
cg20912770;ASCL2;-4,56979;-0,1308245;11;2,29E+06;NM_005170;TSS1500;Island;0,0347648;;;
cg20912874;BAI1;2,00088;0,03583;8;1,44E+08;NM_001702;Body;N_Shelf;0,0496885;;;
cg20913114;;-4,84776;-0,1423585;7;1,32E+06;;;Island;0,0444804;;;
cg20914488;;-3,43084;-0,123766;13;1,13E+08;;;;0,0428365;;;
cg20916066;NKX2-1;19,3043;0,309472;14;3,70E+07;"NM_001079668;NM_003317";"1stExon;TSS1500";Island;0,0402725;;;
cg20916535;VGLL2;-10,615;-0,21727;6;1,18E+08;"NM_182645;NM_153453";"Body;Body";Island;0,0389764;;;
cg20918537;DMXL2;-1,7326;-0,0579955;15;5,19E+07;NM_015263;Body;N_Shore;0,0489171;;;
cg20919336;;7,41267;0,191504;14;7,66E+07;;;S_Shore;0,0382745;;;
cg20919781;ZNF703;-8,59045;-0,202296;8;3,76E+07;NM_025069;TSS1500;Island;0,0489687;;;
cg20920123;;-5,52307;-0,1791945;13;1,12E+08;;;Island;0,0430017;;;
cg20921712;NANOS2;8,98474;0,2330135;19;4,64E+07;NM_001029861;TSS1500;S_Shore;0,0398626;;;
cg20922324;HDAC11;-26,2367;-0,19831815;3;1,35E+07;"NM_024827;NM_024827;NM_001136041";"1stExon;5'UTR;TSS200";Island;0,0497641;;;
cg20922930;;2,51333;0,073401;2;2,31E+08;;;S_Shelf;0,0413547;;;
cg20923498;INPP4A;3,80934;0,0938115;2;9,91E+07;"NM_001566;NM_004027;NM_001134224;NM_001134225";"5'UTR;5'UTR;5'UTR;5'UTR";;0,0390167;;;
cg20924286;CLDN11;-3,72024;-0,1347525;3;1,70E+08;NM_005602;TSS1500;N_Shore;0,0407516;;;
cg20924735;ALS2;2,63621;0,072535;2;2,03E+08;NM_020919;3'UTR;;0,0474304;;;
cg20925178;CWF19L1;6,60751;0,2017975;10;1,02E+08;NM_018294;TSS200;S_Shore;0,0479122;;;
cg20927059;TFCP2;-3,97142;-0,134441;12;5,16E+07;NM_005653;TSS1500;S_Shore;0,0425427;;;
cg20927649;GUCA1A;2,79018;0,0841845;6;4,21E+07;"NM_000409;NM_000409";"5'UTR;1stExon";;0,0404324;;;
cg20928770;;1,47314;0,0179385;11;1,26E+08;;;;0,0492916;;;
cg20928974;TNXB;3,68757;0,08316;6;3,20E+07;NM_019105;Body;;0,0393736;;;
cg20929557;ITLN1;5,79553;0,179117;1;1,61E+08;NM_017625;TSS1500;;0,0482331;;;
cg20930487;PODN;3,60731;0,1010105;1;5,35E+07;NM_153703;Body;N_Shore;0,0497098;;;
cg20931474;;-16,0062;-0,283833;2;4,21E+07;;;;0,0394993;;;
cg20933293;SUPT4H1;2,2298;0,0184443;17;5,64E+07;NM_003168;TSS200;Island;0,0382745;;;
cg20933326;ARHGEF16;5,94162;0,1277225;1;3,39E+06;NM_014448;Body;;0,040279;;;
cg20933713;TNR;-1,70564;-0,049555;1;1,76E+08;NM_003285;TSS1500;;0,0474262;;;
cg20934640;;4,66289;0,1415175;3;1,10E+07;;;N_Shelf;0,0382745;;;
cg20935057;GATS;-1,47733;-0,041821;7;9,99E+07;"NR_028040;NR_028038;NM_178831;NR_028039";"TSS1500;TSS1500;TSS1500;TSS1500";S_Shore;0,0391234;;;
cg20935317;CASZ1;4,07437;0,0901755;1;1,07E+07;"NM_017766;NM_001079843";"Body;Body";;0,0382745;;;
cg20936892;GDPD1;1,61386;0,046769;17;5,73E+07;"NM_182569;NM_001165993;NM_001165994";"TSS1500;TSS1500;TSS1500";N_Shore;0,0399885;;;
cg20937101;;26,0716;0,2487755;7;186433;;;Island;0,0439261;;;
cg20938170;MOGAT2;3,45427;0,1265585;11;7,54E+07;NM_025098;TSS200;;0,0497167;;;
cg20939084;ZIC4;9,99725;0,240519;3;1,47E+08;"NM_001168378;NR_033119;NM_032153;NR_033118;NM_001168379";"Body;Body;Body;Body;Body";S_Shore;0,0456569;;;
cg20940675;;4,1928;0,1133175;1;2,30E+08;;;;0,0391234;;;
cg20942782;ZNF12;10,8949;0,212344;7;6,75E+06;"NM_016265;NM_006956";"TSS1500;TSS1500";S_Shore;0,0434808;;;
cg20942910;TTC39A;6,12573;0,1941095;1;5,18E+07;NM_001144832;TSS1500;S_Shore;0,0421247;;;
cg20943039;;-7,87184;-0,2154035;15;6,52E+07;;;;0,0387642;;;
cg20943251;COL1A2;2,16935;0,0544145;7;9,41E+07;NM_000089;3'UTR;;0,0398626;;;
cg20944195;EBF2;-4,64691;-0,138984;8;2,58E+07;NM_022659;Body;;0,041945;;;
cg20945307;C6orf10;-6,62484;-0,1653245;6;3,23E+07;NM_006781;Body;;0,0486793;;;
cg20945465;;4,22542;0,106527;13;2,84E+07;;;;0,0382745;;;
cg20945520;C3orf21;8,71836;0,1554555;3;1,95E+08;NM_152531;Body;;0,0447242;;;
cg20946054;C1orf187;-3,09286;-0,1047565;1;1,18E+07;NM_198545;5'UTR;;0,0416573;;;
cg20947377;PTPRZ1;-6,23843;-0,13476;7;1,22E+08;NM_002851;TSS1500;N_Shore;0,0406387;;;
cg20948258;CPLX1;-10,8796;-0,230445;4;789807;NM_006651;Body;S_Shore;0,0482386;;;
cg20948409;;2,99071;0,088858;3;1,14E+08;;;;0,043136;;;
cg20949107;;-11,9365;-0,167876;7;1,57E+08;;;S_Shore;0,0382745;;;
cg20949198;SLC2A12;10,2012;0,161436;6;1,34E+08;NM_145176;Body;;0,0394176;;;
cg20950264;;-2,91368;-0,1154455;X;6,81E+07;;;S_Shelf;0,0490428;;;
cg20950301;DKK3;-1,75656;-0,061065;11;1,20E+07;"NM_001018057;NM_015881;NM_013253";"Body;Body;Body";Island;0,0391234;;;
cg20950465;GPX7;4,5915;0,151372;1;5,31E+07;NM_015696;1stExon;Island;0,0403854;;;
cg20951194;ATAD3C;-11,1322;-0,1776345;1;1,40E+06;NM_001039211;Body;Island;0,0435982;;;
cg20951444;FNDC5;7,53237;0,1851085;1;3,33E+07;NM_153756;TSS1500;;0,0450266;;;
cg20951539;PXT1;-8,85891;-0,222543;6;3,64E+07;NM_152990;Body;;0,0382745;;;
cg20951726;MTMR9;1,35708;0,0149645;8;1,11E+07;NM_015458;Body;S_Shore;0,0382745;;;
cg20952070;INO80C;3,13875;0,1234935;18;3,31E+07;"NM_001098817;NM_194281";"Body;Body";N_Shore;0,0477048;;;
cg20953187;SLC6A20;-18,1132;-0,163137;3;4,58E+07;"NM_020208;NM_022405";"1stExon;1stExon";Island;0,0382745;;;
cg20953257;KANK2;11,1782;0,2104175;19;1,13E+07;"NM_001136191;NM_015493";"Body;Body";S_Shore;0,0412408;;;
cg20954987;C12orf68;3,85411;0,142088;12;4,86E+07;NM_001013635;1stExon;Island;0,0395279;;;
cg20955507;DDR1;16,0276;0,281657;6;3,09E+07;"NM_013993;NM_001954";"5'UTR;5'UTR";S_Shore;0,0398626;;;
cg20955693;;-4,29433;-0,144804;6;1,67E+08;;;Island;0,0391234;;;
cg20956278;SLC16A8;22,1088;0,322968;22;3,85E+07;NM_013356;Body;Island;0,040575;;;
cg20957182;ACRC;12,5441;0,152578;X;7,08E+07;"NM_052957;NR_001568";"Body;Body";Island;0,049599;;;
cg20957316;SFRS7;2,54039;0,0663235;2;3,90E+07;NM_001031684;Body;N_Shore;0,0406727;;;
cg20957382;KIAA1033;1,45325;0,010593;12;1,06E+08;NM_015275;TSS200;Island;0,0476293;;;
cg20957523;;2,20024;0,0514815;3;1,49E+08;;;;0,0434541;;;
cg20958098;SLC6A13;-22,1558;-0,3235905;12;351299;NM_016615;Body;;0,0465589;;;
cg20958628;KIAA1026;7,06605;0,1883965;1;1,52E+07;"NM_201628;NM_015209;NM_001018000";"Body;Body;TSS1500";N_Shore;0,0391234;;;
cg20959676;C1orf213;10,9446;0,1413767;1;2,37E+07;"NM_001008896;NM_001077195;NM_138479;NM_001077195;NM_030634";"Body;5'UTR;1stExon;1stExon;TSS1500";Island;0,0382745;;;
cg20959851;;-1,82875;-0,049025;1;5,50E+07;;;N_Shelf;0,0496061;;;
cg20959866;AJAP1;2,54034;0,0787795;1;4,71E+06;"NM_018836;NM_001042478";"TSS1500;TSS1500";Island;0,0459881;;;
cg20959872;ADORA2B;8,42604;0,174838;17;1,58E+07;NM_000676;TSS200;Island;0,0398626;;;
cg20962039;OBSL1;2,02213;0,0365775;2;2,20E+08;NM_015311;Body;Island;0,0419911;;;
cg20962215;;2,22233;0,081115;19;5,47E+07;;;S_Shelf;0,0394925;;;
cg20962938;PRDM16;12,2531;0,2651915;1;3,30E+06;"NM_022114;NM_199454";"Body;Body";;0,0454466;;;
cg20963741;;13,9123;0,245424;13;9,54E+07;;;N_Shore;0,0391234;;;
cg20964024;CUX2;-3,71079;-0,1282395;12;1,12E+08;NM_015267;Body;;0,0397805;;;
